province,georoc_citation_id,mapped,doi,year,title,doi_overlap_petdb,title_overlap_petdb,publication_overlap_petdb
Southern Andean Volcanic Zone,3296,True,10.1016/0012-821X(86)90018-X,1986.0,"ISOTOPE GEOCHEMISTRY OF RECENT MAGMATISM IN THE AEGEAN ARC: SR, ND, H, AND O ISOTOPIC RATIOS IN THE LAVAS OF MILOS AND SANTORINI",False,False,False
Southern Andean Volcanic Zone,3553,True,10.1007/BF00310649,1990.0,"H, O, SR, ND AND PB ISOTOPE GEOCHEMISTRY OF THE LATIR VOLCANIC FIELD AND COGENETIC INTRUSIONS, NEW MEXICO, AND RELATIONS BETWEEN EVOLUTION OF A CONTINENTAL MAGMATIC CENTER AND MODIFICATIONS OF THE LITHOSPHERE",False,False,False
Southern Andean Volcanic Zone,3627,True,10.1007/BF00371373,1988.0,"THE ORIGIN AND EVOLUTION OF MAGMAS FROM THE SAN PEDRO-PELLADO VOLCANIC COMPLEX, S CHILE: MULTICOMPONENT SOURCES AND OPEN SYSTEM EVOLUTION",False,False,False
Southern Andean Volcanic Zone,3631,True,10.1029/JB091iB06p05963,1986.0,"MULTIPLE SOURCES FOR BASALTIC ARC ROCKS FROM THE SOUTHERN VOLCANIC ZONE OF THE ANDES (34°-41° S): TRACE ELEMENT AND ISOTOPIC EVIDENCE FOR CONTRIBUTIONS FROM SUBDUCTED OCEANIC CRUST, MANTLE AND CONTINENTAL CRUST",False,False,False
Southern Andean Volcanic Zone,3639,True,10.1093/petrology/33.1.1,1992.0,"THE TATARA-SAN PEDRO VOLCANO, 36°S, CHILE: A CHEMICALLY VARIABLE, DOMINANTLY MAFIC MAGMATIC SYSTEM",False,False,False
Southern Andean Volcanic Zone,3648,True,10.1093/petrology/36.2.265,1995.0,"GEOCHEMISTRY OF THE ACTIVE AZUFRE-PLANCHON-PETEROA VOLCANIC COMPLEX, CHILE (35°15^S): EVIDENCE FOR MULTIPLE SOURCES AND PROCESSES IN A CORDILLERAN ARC MAGMATIC SYSTEM",False,False,False
Southern Andean Volcanic Zone,3831,True,10.1007/BF00402922,1989.0,"GEOCHEMICAL VARIATIONS IN ANDEAN BASALTIC AND SILICIC LAVAS FROM THE VILLARICA-LANIN VOLCANIC CHAIN (39.5°S): AN EVALUATION OF SOURCE HETEROGENEITY, FRACTIONAL CRYSTALLIZATION, AND CRUSTAL ASSIMILATION",False,False,False
Southern Andean Volcanic Zone,3996,True,10.1130/SPE265-p57,1991.0,RECENT LAVAS FROM THE ANDEAN VOLCANIC FRONT (33 TO 42°S); INTERPRETATIONS OF ALONG-ARC COMPOSITIONAL VARIATIONS,False,False,False
Southern Andean Volcanic Zone,4232,True,10.1016/0377-0273(82)90044-0,1982.0,PETROLOGY OF THE PLIO-QUATERNARY VOLCANISM OF THE SOUTH-CENTRAL AND MERIDIONAL ANDES,False,False,False
Southern Andean Volcanic Zone,4346,True,10.1016/0012-821X(88)90082-9,1988.0,SR AND ND ISOTOPIC AND TRACE ELEMENT COMPOSITIONS OF QUATERNARY VOLCANIC CENTERS OF THE SOUTHERN ANDES,False,False,False
Southern Andean Volcanic Zone,4350,True,10.1007/BF00286934,1995.0,"CALBUCO VOLCANO AND MINOR ERUPTIVE CENTERS DISTRIBUTED ALONG THE LIQUINE-OFQUI FAULT ZONE, CHILE (41° - 42° S): CONTRASTING ORIGIN OF ANDESITIC AND BASALTIC MAGMA IN THE SOUTHERN VOLCANIC ZONE OF THE ANDES",False,False,False
Southern Andean Volcanic Zone,4352,True,10.1007/BF00321486,1990.0,"TRACE-ELEMENT AND SR, ND, PB, AND O ISOTOPIC COMPOSITION OF PLIOCENE AND QUATERNARY ALKALI BASALTS OF THE PATAGONIAN PLATEAU LAVAS OF SOUTHERNMOST SOUTH AMERICA",False,False,False
Southern Andean Volcanic Zone,4380,True,10.1016/0377-0273(81)90030-5,1981.0,"PETROLOGY AND GEOCHEMISTRY OF LAVAS FROM ANTUCO VOLCANO, A BASALTIC VOLCANO OF THE SOUTHERN ANDES (37°25´)",False,False,False
Southern Andean Volcanic Zone,4544,True,,1992.0,"A CONTRIBUTION TO THE PETROGENESIS OF OSORNO AND CALBUCO VOLCANOES, SOUTHERN ANDES (41°00^-41°30^): COMPARATIVE STUDY",False,False,False
Southern Andean Volcanic Zone,5033,True,10.1016/S0012-821X(02)00524-1,2002.0,OSMIUM ISOTOPE BINARY MIXING ARRAYS IN ARC VOLCANISM,False,True,True
Southern Andean Volcanic Zone,6214,True,10.4067/S0716-02082000000200003,2000.0,THE RELATION OF THE MID-TERTIARY COASTAL MAGMATIC BELT IN SOUTH-CENTRAL CHILE TO THE LATE OLIGOCENE INCREASE IN PLATE CONVERGENCE RATE,False,False,False
Southern Andean Volcanic Zone,6216,True,10.4067/S0716-02082000000100006,2000.0,"CRUSTAL CONTRIBUTION IN THE GENESIS OF THE BIMODAL TRIASSIC VOLCANISM FROM THE COASTAL RANGE, CENTRAL CHILE",False,False,False
Southern Andean Volcanic Zone,6218,True,10.4067/S0716-02081999000200008,1999.0,THE PUELCHE VOLCANIC FIELD: EXTENSIVE PLEISTOCENE RHYOLITE LAVA FLOWS IN THE ANDES OF CENTRAL CHILE,False,False,False
Southern Andean Volcanic Zone,6220,True,10.4067/S0716-02081999000100002,1999.0,"CENOZOIC THOLEIITIC VOLCANISM IN THE COLBUN AREA, LINARES PRECORDILLERA, CENTRAL CHILE (35°35^-36°S)",False,False,False
