source_region,n,model_ready_common18,strict_external_candidate,petdb_exact_normalized_name_overlap,complete_major10,median_observed_feature_n,major_total_min,major_total_max,loi_abs_max,provenance_tier
East Pacific Rise,8,8,0,0,8,18.0,97.72409999999999,98.8438,0.8799120087992008,secondary_literature_exclude_strict
Southwest Indian Ridge,36,36,36,0,36,18.0,96.935,99.207,1.8,repository_original_provisional
