model,publication_group,n,cib_recall,arc_share,mean_prob_cib,mean_prob_arc,mean_outside_train_1_99_n
logistic_balanced,11949,59,0.01694915254237288,0.9491525423728814,0.07393703766335046,0.6702136052460096,0.6949152542372882
logistic_balanced,1754|3548|3538|3304,1,1.0,0.0,0.9553952267807071,0.004449754172413082,0.0
logistic_balanced,20648,10,0.0,1.0,0.08970506405376891,0.5520675892272864,0.9
random_forest_balanced,11949,59,0.4576271186440678,0.5423728813559322,0.23502925395455435,0.4516022556622267,0.6949152542372882
random_forest_balanced,1754|3548|3538|3304,1,1.0,0.0,0.8809407263816329,0.015561651159232937,0.0
random_forest_balanced,20648,10,1.0,0.0,0.38431975414709296,0.1724843514702086,0.9
