input_spec,n_folds,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,georoc_recall_mean,petdb_recall_mean,roc_auc_mean
missingness_only,5,0.5226897916985992,0.05165440560325497,0.6576041295909371,0.08674383180607566,0.7310986701407783,0.5841095890410959,0.6680985872068664
values_only,5,0.7442636564986976,0.04737143485870822,0.9059407487722781,0.027638807444546363,0.8990047852157892,0.9128767123287671,0.957005482327107
values_plus_missing,5,0.7542872500899467,0.04508185577475072,0.9119371020532977,0.02476797237354762,0.9052440671202941,0.9186301369863014,0.9605435989409961
