cv_strategy,fold,model,train_n,test_n,fit_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
random_stratified,1,dummy_prior,4918,1230,0.0173,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
random_stratified,1,logistic_balanced,4918,1230,0.0868,0.8788617886178862,0.8621661536950721,0.824102329595376,0.8826281776062191,0.4658530344634091
random_stratified,1,random_forest_balanced,4918,1230,0.5152,0.9341463414634147,0.9256780229543871,0.9091453591988178,0.9347877221056982,0.24545320651191857
random_stratified,2,dummy_prior,4918,1230,0.0196,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
random_stratified,2,logistic_balanced,4918,1230,0.0825,0.875609756097561,0.8507065137553907,0.8184608657525032,0.8792329523708233,0.4332938170928461
random_stratified,2,random_forest_balanced,4918,1230,0.5211,0.9406504065040651,0.9160380367854384,0.9097985199188581,0.9409556737760564,0.2337623411592947
random_stratified,3,dummy_prior,4918,1230,0.0171,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
random_stratified,3,logistic_balanced,4918,1230,0.0748,0.8886178861788618,0.8665842491085355,0.8381055791219991,0.8921035534513281,0.3934878351631276
random_stratified,3,random_forest_balanced,4918,1230,0.5097,0.9520325203252032,0.933666486706315,0.9309258097740905,0.9522859907339493,0.22288171551305955
random_stratified,4,dummy_prior,4919,1229,0.0173,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0878384535978214
random_stratified,4,logistic_balanced,4919,1229,0.0973,0.8584214808787632,0.8504539560193312,0.8073477274667555,0.86339619440543,0.4479237125815516
random_stratified,4,random_forest_balanced,4919,1229,0.6355,0.9308380797396257,0.9167126452373298,0.90140603263567,0.9318943944747233,0.247918316624767
random_stratified,5,dummy_prior,4919,1229,0.026,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0874086514978094
random_stratified,5,logistic_balanced,4919,1229,0.1303,0.8763222131814483,0.8658650886166106,0.82460613132511,0.8802088128570356,0.40188958847516887
random_stratified,5,random_forest_balanced,4919,1229,0.6026,0.950366151342555,0.9361333911158594,0.9239466370705738,0.9509406602174748,0.2315701910192143
citation_set_grouped,1,dummy_prior,4918,1230,0.0231,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_set_grouped,1,logistic_balanced,4918,1230,0.1052,0.7666666666666667,0.7002999155023124,0.6849682143744229,0.7609344350398275,0.6520528436302764
citation_set_grouped,1,random_forest_balanced,4918,1230,0.5257,0.8089430894308943,0.7577602890925036,0.7665908910778274,0.8010187602151104,0.5719012797772497
citation_set_grouped,2,dummy_prior,4918,1230,0.0206,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_set_grouped,2,logistic_balanced,4918,1230,0.0816,0.8699186991869918,0.802854002641654,0.7957557569660225,0.8737737746610073,0.47013591213161915
citation_set_grouped,2,random_forest_balanced,4918,1230,0.5342,0.8829268292682927,0.7675183613819687,0.7761391398730377,0.8781764956800033,0.3549188441420173
citation_set_grouped,3,dummy_prior,4919,1229,0.0218,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0874086514978094
citation_set_grouped,3,logistic_balanced,4919,1229,0.0923,0.7786818551668023,0.7329904562270328,0.6793165423796379,0.8003683956208705,0.729533775787687
citation_set_grouped,3,random_forest_balanced,4919,1229,0.5528,0.8608624898291294,0.766351483458207,0.7785886298076583,0.8590600973510356,0.39762161364491905
citation_set_grouped,4,dummy_prior,4919,1229,0.0206,0.5939788445890968,0.25,0.18631955079122,0.44267948601331364,1.0878384535978214
citation_set_grouped,4,logistic_balanced,4919,1229,0.116,0.8144833197721725,0.7362908241944216,0.7083632727296105,0.8171773155383298,1.0218763499834274
citation_set_grouped,4,random_forest_balanced,4919,1229,0.7195,0.8494711147274207,0.7355859908099764,0.7255255446382682,0.8469842306931028,0.46530355538041673
citation_set_grouped,5,dummy_prior,4918,1230,0.0219,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_set_grouped,5,logistic_balanced,4918,1230,0.093,0.802439024390244,0.7610062881183064,0.7333614795410704,0.8097991179318689,0.6586589700851778
citation_set_grouped,5,random_forest_balanced,4918,1230,0.5197,0.8552845528455284,0.7776946002871318,0.7840813081360292,0.8514440651455764,0.46628054307113365
citation_overlap_conservative,1,dummy_prior,4918,1230,0.0216,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_overlap_conservative,1,logistic_balanced,4918,1230,0.0836,0.7723577235772358,0.6755021045469201,0.6553623500682324,0.776337092101798,0.7569535362805337
citation_overlap_conservative,1,random_forest_balanced,4918,1230,0.5645,0.8528455284552846,0.7569976381327923,0.7767866508415304,0.8494575066353862,0.4372195652842903
citation_overlap_conservative,2,dummy_prior,4918,1230,0.0247,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_overlap_conservative,2,logistic_balanced,4918,1230,0.0982,0.843089430894309,0.8132018619471969,0.7913224500852315,0.8490882183464993,0.4951287204826019
citation_overlap_conservative,2,random_forest_balanced,4918,1230,0.5151,0.8544715447154472,0.77381560649946,0.7650123329159505,0.8561768455387216,0.44956047219321316
citation_overlap_conservative,3,dummy_prior,4918,1230,0.0191,0.5934959349593496,0.25,0.18622448979591838,0.44209391073502574,1.0890561414637598
citation_overlap_conservative,3,logistic_balanced,4918,1230,0.0926,0.7691056910569106,0.6702934938121806,0.6505070481547415,0.766155112888166,1.3042331485549898
