model,label,n,precision,recall,f1,mean_prob_actual,median_prob_actual,mean_outside_train_1_99_n,share_with_any_outside_train_1_99
logistic_balanced,ARC,30,0.2545454545454545,0.9333333333333333,0.4,0.9273189644565213,0.9815059537599762,0.4666666666666667,0.43333333333333335
logistic_balanced,CIB,98,0.23076923076923078,0.12244897959183673,0.16,0.1611798874534988,0.08789949638132505,0.5816326530612245,0.45918367346938777
logistic_balanced,MORB,48,0.9787234042553191,0.9583333333333334,0.968421052631579,0.8883922459768612,0.9276422135979457,0.020833333333333332,0.020833333333333332
logistic_balanced,OIB,55,0.7272727272727273,0.2909090909090909,0.4155844155844156,0.41917689139432124,0.41562368459082905,0.6909090909090909,0.36363636363636365
random_forest_balanced,ARC,30,0.3972602739726027,0.9666666666666667,0.5631067961165048,0.739001125409603,0.7850980767127089,0.4666666666666667,0.43333333333333335
random_forest_balanced,CIB,98,0.8095238095238095,0.5204081632653061,0.6335403726708074,0.31310958568327857,0.3648193990471911,0.5816326530612245,0.45918367346938777
random_forest_balanced,MORB,48,0.9795918367346939,1.0,0.9896907216494846,0.9366740109632022,0.9841708844618761,0.020833333333333332,0.020833333333333332
random_forest_balanced,OIB,55,0.9565217391304348,0.8,0.8712871287128713,0.7095734101842599,0.788439836960009,0.6909090909090909,0.36363636363636365
