cv_strategy,model,n,multiclass_brier,top_label_ece,mean_top_label_confidence
citation_overlap_conservative,dummy_prior,6148,0.5834071397461164,2.9449295113614937e-08,0.5936890340036217
citation_overlap_conservative,logistic_balanced,6148,0.28635672364046205,0.03723911131980317,0.8356259636134731
citation_overlap_conservative,random_forest_balanced,6148,0.23587352138138337,0.07497816402373898,0.7742632612245763
citation_set_grouped,dummy_prior,6148,0.5834071397461164,2.9449295113614937e-08,0.5936890340036217
citation_set_grouped,logistic_balanced,6148,0.28844468669735546,0.03823095827566367,0.8445362360143375
citation_set_grouped,random_forest_balanced,6148,0.23203108812481457,0.06589408308008886,0.7865356312790093
location_root_grouped,dummy_prior,6148,0.59387418942982,0.07115743813767189,0.5945062264967362
location_root_grouped,logistic_balanced,6148,0.33927196317665853,0.06749372576617646,0.8469997835875432
location_root_grouped,random_forest_balanced,6148,0.28702320335623127,0.03836812948268419,0.774115651901897
random_stratified,dummy_prior,6148,0.5834071397461165,2.9449295113614937e-08,0.5936890340036217
random_stratified,logistic_balanced,6148,0.19682857817505503,0.036562614744981556,0.8495201059844829
random_stratified,random_forest_balanced,6148,0.11079853522489698,0.09387214399578796,0.8479185352673663
