model,actual_cohort,n,citation_groups,accuracy_against_database_label,predicted_arc,predicted_cib,predicted_morb,predicted_oib,mean_prob_cib,mean_prob_cib_ci_low,mean_prob_cib_ci_high,mean_prob_oib,mean_prob_oib_ci_low,mean_prob_oib_ci_high,mean_transition_index,mean_transition_index_ci_low,mean_transition_index_ci_high,share_prob_oib_gt_cib,share_prob_oib_gt_cib_ci_low,share_prob_oib_gt_cib_ci_high
logistic_balanced,ALL,361,34,0.1329639889196676,11,54,8,288,0.18137473946751426,0.10108167986076602,0.2615550945397671,0.6984315808683039,0.6313796012399826,0.768487037622106,0.8036736134775473,0.723013210583851,0.8862148341090607,0.8448753462603878,0.7456062520602131,0.9372751383763837
logistic_balanced,CIB,347,32,0.138328530259366,11,48,8,280,0.17377130207526745,0.09772490021471412,0.2551452498767436,0.7046763481699325,0.6367418018543614,0.7773696031304833,0.8110047235122114,0.727555940312668,0.8888655277214488,0.8559077809798271,0.7542972831765935,0.9462399511549812
random_forest_balanced,ALL,361,34,0.01662049861495845,22,4,16,319,0.07641696775973231,0.06648413636517017,0.08981971894083464,0.606903430463082,0.5680527278822146,0.6449490196602163,0.8843214957088743,0.8686065064989716,0.8967608457052817,0.9889196675900277,0.9677353789666929,1.0
random_forest_balanced,CIB,347,32,0.011527377521613832,22,4,14,307,0.07541035715314537,0.06524788391929531,0.08863878097715086,0.608691201652772,0.5662689661726811,0.6462578708723593,0.8859050564033812,0.8699553032991242,0.8992587829216903,0.9884726224783862,0.9682525660440855,1.0
