cv_strategy,input_spec,fold,train_n,test_n,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
citation_set_grouped,broad_values,1,34404,8601,0.8201371933496105,0.7662915610963102,0.7776244366244934,0.8191468759592759,0.4663442324082998
citation_set_grouped,broad_values,2,34403,8602,0.8199255986979772,0.7849948113991309,0.7913455000655926,0.8193063347766273,0.4756710530842397
citation_set_grouped,broad_values,3,34404,8601,0.8244390187187536,0.7846801340487892,0.7926717744385149,0.8231275813340637,0.4723526531968868
citation_set_grouped,broad_values,4,34404,8601,0.7946750377863039,0.7648050660943936,0.7684014017232363,0.7943869499066627,0.5027464603836233
citation_set_grouped,broad_values,5,34405,8600,0.8176744186046512,0.7735174366655126,0.7864132255070683,0.8165932224642716,0.4697108991335958
citation_set_grouped,broad_values_plus_missing,1,34404,8601,0.8156028368794326,0.7594069965762565,0.7709446644500854,0.814516657125467,0.4705222043866276
citation_set_grouped,broad_values_plus_missing,2,34403,8602,0.8256219483840967,0.7910258034243336,0.7961810254710858,0.8249437975857323,0.47824213588558734
citation_set_grouped,broad_values_plus_missing,3,34404,8601,0.821183583304267,0.7730711892651057,0.7844561642030476,0.8195731305740839,0.48475061642192807
citation_set_grouped,broad_values_plus_missing,4,34404,8601,0.7946750377863039,0.7644797406497332,0.7684012187215267,0.7944010139934425,0.5066595448415229
citation_set_grouped,broad_values_plus_missing,5,34405,8600,0.8215116279069767,0.7778280721631585,0.7889190081607048,0.8206656969123848,0.4716303498815103
citation_set_grouped,immobile_values,1,34404,8601,0.7594465759795372,0.7053427882272482,0.70386145219979,0.7595675336808572,0.564298487299403
citation_set_grouped,immobile_values,2,34403,8602,0.7777261102069286,0.7351392945477141,0.7410227798792707,0.7771555843561688,0.5605830709932395
citation_set_grouped,immobile_values,3,34404,8601,0.7830484827345657,0.7314125030128175,0.7344453775834335,0.7820398672273274,0.5399836969380599
citation_set_grouped,immobile_values,4,34404,8601,0.761190559237298,0.7283990494250115,0.7290297000509979,0.7612139523869641,0.5717800437486869
citation_set_grouped,immobile_values,5,34405,8600,0.78,0.7352804003950286,0.7438837546399529,0.7788015066155595,0.54428516584355
citation_set_grouped,broad_missingness_only,1,34404,8601,0.24543657714219277,0.3881851999869397,0.25417643710650634,0.2592062314009308,1.114731107837804
citation_set_grouped,broad_missingness_only,2,34403,8602,0.4616368286445013,0.3437724789998216,0.3429801008557422,0.46010504488447573,1.0754204785919703
citation_set_grouped,broad_missingness_only,3,34404,8601,0.30043018253691434,0.39762518348614345,0.3003015890242158,0.3396284540394353,1.0694646235290655
citation_set_grouped,broad_missingness_only,4,34404,8601,0.26462039297756074,0.3986039588198589,0.2725507075558879,0.2890580916738183,1.0870245697378822
citation_set_grouped,broad_missingness_only,5,34405,8600,0.26476744186046514,0.3994557851759118,0.27638391891833786,0.2888350633862909,1.053982372246833
location_root_grouped,broad_values,1,34403,8602,0.6980934666356661,0.6039759217079483,0.6183300107756637,0.6888477664364525,0.6569236896108065
location_root_grouped,broad_values,2,34395,8610,0.7256678281068525,0.5371622817582645,0.5484631733484342,0.7023026157104577,0.7822598405212499
location_root_grouped,broad_values,3,34408,8597,0.7625916017215307,0.6430838975880442,0.6583541161888639,0.756250497326914,0.5633769542517312
location_root_grouped,broad_values,4,34408,8597,0.7349075258811213,0.6819325661656253,0.6801050145036447,0.7351883961662,0.6277303979505378
location_root_grouped,broad_values,5,34406,8599,0.7289219676706594,0.6754420648423731,0.6951522211418709,0.7286559572572556,0.6674761266334277
location_root_grouped,broad_values_plus_missing,1,34403,8602,0.6963496861195071,0.6040550251735132,0.6179933172329891,0.6868314822633174,0.6668681480876512
location_root_grouped,broad_values_plus_missing,2,34395,8610,0.7263646922183508,0.5374276781638675,0.5491631177246917,0.7030124947412681,0.7649621988528247
location_root_grouped,broad_values_plus_missing,3,34408,8597,0.7589856926834943,0.6416613592405362,0.6566017718096128,0.7529356495014095,0.5694564268554653
location_root_grouped,broad_values_plus_missing,4,34408,8597,0.7333953704780738,0.6787691898994311,0.6761847727121717,0.7338167254567027,0.6296252666899875
location_root_grouped,broad_values_plus_missing,5,34406,8599,0.7306663565530875,0.6781173451397787,0.6962368974700813,0.7303805567175304,0.7183879541862275
location_root_grouped,immobile_values,1,34403,8602,0.6319460590560335,0.5621551086393001,0.5594812261607179,0.6279081579643107,0.7912037381686945
location_root_grouped,immobile_values,2,34395,8610,0.670267131242741,0.4987298008966929,0.508806654426205,0.6517505848132599,0.8569241822012409
location_root_grouped,immobile_values,3,34408,8597,0.704315458881005,0.6165292784420041,0.6160639770137494,0.704081547469186,0.62931336802111
location_root_grouped,immobile_values,4,34408,8597,0.6711643596603466,0.6049077764781686,0.60876929737785,0.6703925822863404,0.718839611739652
location_root_grouped,immobile_values,5,34406,8599,0.690777997441563,0.6091650173436468,0.6239599919794725,0.6871334852577058,0.7002435692085964
location_root_grouped,broad_missingness_only,1,34403,8602,0.38653801441525226,0.29738294766714535,0.29618703754009995,0.39814711746542275,1.1973368256677783
location_root_grouped,broad_missingness_only,2,34395,8610,0.1932636469221835,0.25593608855340344,0.20060936454379077,0.22819548643504775,1.137298174207391
location_root_grouped,broad_missingness_only,3,34408,8597,0.21821565662440387,0.38506461050480373,0.22674567960437633,0.21747879201780984,1.0928458547917757
location_root_grouped,broad_missingness_only,4,34408,8597,0.27311852971966966,0.36487564688148116,0.28186086104637104,0.3048171355081749,1.0933920626191622
location_root_grouped,broad_missingness_only,5,34406,8599,0.409466217001977,0.2823865188994161,0.28252284416598666,0.4061708854679272,1.117862712826194
