model,cohort,n,oib_recall,mean_prob_oib,median_prob_oib,mean_outside_train_1_99_n,share_with_any_outside_train_1_99,predicted_share_arc,mean_prob_arc,predicted_share_cib,mean_prob_cib,predicted_share_morb,mean_prob_morb,predicted_share_oib
logistic_balanced,ALL_LA_PALMA_2021,39,0.0,0.3619067580360524,0.39744373578270875,0.9743589743589743,0.5128205128205128,0.0,0.0009297908743333422,1.0,0.6261937169451914,0.0,0.010969734144422894,0.0
logistic_balanced,DAY_1_20_FRACTIONATED_TEPHRITE,19,0.0,0.3006283844760345,0.3172690156824024,1.894736842105263,0.9473684210526315,0.0,0.0010431120733974193,1.0,0.6876996384425267,0.0,0.010628865008041232,0.0
logistic_balanced,POST_DAY_20_PRIMITIVE_BASANITE,20,0.0,0.42012121291806936,0.4177217794006124,0.1,0.1,0.0,0.0008221357352224687,1.0,0.5677630915227228,0.0,0.011293559823985475,0.0
random_forest_balanced,ALL_LA_PALMA_2021,39,0.717948717948718,0.7032498749748842,0.839978231396271,0.9743589743589743,0.5128205128205128,0.0,0.0016321990692239107,0.28205128205128205,0.2836027443815347,0.0,0.011515181574357297,0.717948717948718
random_forest_balanced,DAY_1_20_FRACTIONATED_TEPHRITE,19,0.42105263157894735,0.5096171755467911,0.4879114497871527,1.894736842105263,0.9473684210526315,0.0,0.0006985716104388182,0.5789473684210527,0.4742352889520163,0.0,0.01544896389075388,0.42105263157894735
random_forest_balanced,POST_DAY_20_PRIMITIVE_BASANITE,20,1.0,0.8872009394315727,0.8941655903712786,0.1,0.1,0.0,0.002519145155069749,0.0,0.10250182703957711,0.0,0.007778088373780542,1.0
