variant,representation,cv_strategy,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,log_loss_mean,log_loss_std
all_features,missingness_only,citation_overlap_conservative,0.5352219622965342,0.054539078810291484,0.4797213345279979,0.06684228102568159,1.066831976678855,0.10123299506781784
all_features,missingness_only,location_root_grouped,0.428463491265309,0.15505500293867275,0.39044630784479945,0.10001000211428646,1.1197158115342727,0.23166816732719753
all_features,values_no_indicator,citation_overlap_conservative,0.7884781995299173,0.070179342508695,0.7643252673030283,0.06472901577260752,0.681246555256673,0.3347702371808192
all_features,values_no_indicator,location_root_grouped,0.7883607065069572,0.08381883020652421,0.7368445847110747,0.06778972434352036,0.7160619055131116,0.3184341339277908
common_features,missingness_only,citation_overlap_conservative,0.4173478650382923,0.1117944168777901,0.34952982963501134,0.11597784929294197,1.2513261981727628,0.13893912191631588
common_features,missingness_only,location_root_grouped,0.32954425227055273,0.16606197228041011,0.30212028764254545,0.11583913163192606,1.3026493926061915,0.21132344475801207
common_features,values_no_indicator,citation_overlap_conservative,0.7026680071236886,0.06801888491911195,0.6871082377523579,0.07171125493081335,0.7327041116346782,0.34021459553510497
common_features,values_no_indicator,location_root_grouped,0.7063334395157851,0.09020194009578697,0.6540194718403919,0.06356801052080381,0.7639619129895937,0.3633221468262381
