cohort,nb_y_median,zr_y_median,th_nb_median
La Palma 2021,2.6681792570473517,10.080152297741025,0.08862681041944505
PetDB ARC,0.0761904761904762,3.19811320754717,0.4
PetDB CIB,0.977337248936887,5.74430823117338,0.08596032730525299
PetDB MORB,0.11480362537764349,2.973684210526316,0.0623229461756374
PetDB OIB,0.8119843527738264,6.480740740740741,
