record_id,cv_strategy,fold,model,actual,predicted,prob_arc,prob_cib,prob_morb,prob_oib,SAMPLE_URL,sample_names,citations,citation_set,citation_overlap_component,location_root,geographic_features,latitude,longitude,broad_observed_n,major_total_calc,alteration_severity,predicted_confidence,actual_probability,prediction_margin_over_actual,is_error,observed_common21_n,top_predicted_like_features
PETDB:OIB:61f3490baefa460a2f635a46714d53b3,location_root_grouped,1,random_forest_balanced,OIB,MORB,0.01446102180706586,0.012031909843774759,0.9292611610461405,0.04424590730301879,https://www.earthchem.org/petdb/sample/61f3490baefa460a2f635a46714d53b3,IT‐58,"Sinton, J. M., Groenvold, K., ... Saemundsson, K. (2005). POSTGLACIAL ERUPTIVE HISTORY OF THE WESTERN VOLCANIC ZONE, ICELAND. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, 6(12), n/a-n/a.",a5ff5d4b0a0d7b3e4d64147037d8c344,a5ff5d4b0a0d7b3e4d64147037d8c344,MID-ATLANTIC RIDGE,"""SPREADING_CENTER | MID-ATLANTIC RIDGE, OCEAN_ISLAND | ICELAND, COUNTRY | ICELAND""",64.212,-20.926,18,99.87,OTHER_OR_MIXED,0.9292611610461405,0.04424590730301879,0.8850152537431217,True,18,K2O(WT%):3.18 || P2O5(WT%):2.53 || RB(PPM):2.01 || ZR(PPM):1.54 || TIO2(WT%):1.39
PETDB:CIB:37a4eae3114473358145542cc5d73a19,location_root_grouped,2,random_forest_balanced,CIB,OIB,0.014382062190896628,0.03219348131738177,0.03987684650334336,0.9135476099883784,https://www.earthchem.org/petdb/sample/37a4eae3114473358145542cc5d73a19,MR240,"Roberts, M. (2002). THE GEOCHEMICAL AND VOLCANOLOGICAL EVOLUTION OF THE MT. MERU REGION, NORTHERN TANZANIA. null, null.",1713a23c14b5033adb074b5464fb6c66,1713a23c14b5033adb074b5464fb6c66,EAST AFRICAN RIFT,"""COUNTRY | TANZANIA, SPREADING_CENTER | EAST AFRICAN RIFT""",-3.191,36.45,21,98.1671,UNKNOWN,0.9135476099883784,0.03219348131738177,0.8813541286709966,True,20,MNO(WT%):1.00 || CR(PPM):0.78 || LA(PPM):0.54 || CE(PPM):0.51 || MGO(WT%):0.51
PETDB:CIB:35eb6cffd75386caf176471f71885e2d,location_root_grouped,2,random_forest_balanced,CIB,OIB,0.038134040598579964,0.032475926284764076,0.015569896070652766,0.9138201370460031,https://www.earthchem.org/petdb/sample/35eb6cffd75386caf176471f71885e2d,MR50,"Roberts, M. (2002). THE GEOCHEMICAL AND VOLCANOLOGICAL EVOLUTION OF THE MT. MERU REGION, NORTHERN TANZANIA. null, null.",1713a23c14b5033adb074b5464fb6c66,1713a23c14b5033adb074b5464fb6c66,EAST AFRICAN RIFT,"""SPREADING_CENTER | EAST AFRICAN RIFT, COUNTRY | TANZANIA""",-3.488,36.721,21,97.86715,UNKNOWN,0.9138201370460031,0.032475926284764076,0.881344210761239,True,20,CR(PPM):1.06 || MNO(WT%):1.00 || MGO(WT%):0.94 || Y(PPM):0.66 || CAO(WT%):0.59
PETDB:OIB:774a0ddb83daf651c09586696039a572,location_root_grouped,4,random_forest_balanced,OIB,ARC,0.9314889305719021,0.0016531569965870306,0.014758309427045336,0.052099603004465735,https://www.earthchem.org/petdb/sample/774a0ddb83daf651c09586696039a572,5-78,"Gill, J. B. (2020). Compilation of whole rock geochemistry and petrography of samples from the Sangihe Arc, northern Sulawesi, Indonesia. null, null.",0c6b6f19684ed9b6ff07575fcf81c98d,0c6b6f19684ed9b6ff07575fcf81c98d,COUNTRY | INDONESIA,"""COUNTRY | INDONESIA""",-8.508,117.656,20,98.836698,UNKNOWN,0.9314889305719021,0.052099603004465735,0.8793893275674364,True,20,NB(PPM):5.00 || TIO2(WT%):4.82 || ZR(PPM):3.37 || CE(PPM):2.55 || LA(PPM):2.41
PETDB:OIB:56c4939ca2de5bd29db9fb7da6e862b8,location_root_grouped,1,random_forest_balanced,OIB,MORB,0.027703578497857678,0.008445227295065083,0.921279536167803,0.042571658039274124,https://www.earthchem.org/petdb/sample/56c4939ca2de5bd29db9fb7da6e862b8,IT‐192,"Sinton, J. M., Groenvold, K., ... Saemundsson, K. (2005). POSTGLACIAL ERUPTIVE HISTORY OF THE WESTERN VOLCANIC ZONE, ICELAND. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, 6(12), n/a-n/a.",a5ff5d4b0a0d7b3e4d64147037d8c344,a5ff5d4b0a0d7b3e4d64147037d8c344,MID-ATLANTIC RIDGE,"""SPREADING_CENTER | MID-ATLANTIC RIDGE, OCEAN_ISLAND | ICELAND, COUNTRY | ICELAND""",63.925,-21.392,18,99.96000000000001,OTHER_OR_MIXED,0.921279536167803,0.042571658039274124,0.8787078781285289,True,18,K2O(WT%):3.23 || P2O5(WT%):2.53 || RB(PPM):1.81 || ZR(PPM):1.53 || TIO2(WT%):1.50
PETDB:CIB:f3d20e701669bfe76da9380ec62e1889,location_root_grouped,2,random_forest_balanced,CIB,OIB,0.010431392653200384,0.05244304821167227,0.006458431184033195,0.9306671279510941,https://www.earthchem.org/petdb/sample/f3d20e701669bfe76da9380ec62e1889,K2420,"Roberts, M. (2002). THE GEOCHEMICAL AND VOLCANOLOGICAL EVOLUTION OF THE MT. MERU REGION, NORTHERN TANZANIA. null, null.",1713a23c14b5033adb074b5464fb6c66,1713a23c14b5033adb074b5464fb6c66,EAST AFRICAN RIFT,"""SPREADING_CENTER | EAST AFRICAN RIFT, COUNTRY | TANZANIA""",-3.07,37.36,20,98.17002600000001,UNKNOWN,0.9306671279510941,0.05244304821167227,0.8782240797394218,True,19,MGO(WT%):0.98 || CE(PPM):0.80 || Y(PPM):0.71 || ND(PPM):0.59 || LA(PPM):0.41
PETDB:CIB:a1f5b73cabd1a13198ea3d6c5ba254fa,location_root_grouped,2,random_forest_balanced,CIB,OIB,0.0037411625388717165,0.03514025503334732,0.05102892655300625,0.9100896558747745,https://www.earthchem.org/petdb/sample/a1f5b73cabd1a13198ea3d6c5ba254fa,K09-643A,"Cancel-vazquez, S., Rooney, T., ... Steiner, R. (2024). Gombe Series and Pliocene Shield Basalts from the Turkana Depression, Kenya, East African Rift. null, null.",3e9f0fc9b2f89e043bc6233994dfcf76,3e9f0fc9b2f89e043bc6233994dfcf76,EAST AFRICAN RIFT,"""COUNTRY | KENYA, SPREADING_CENTER | EAST AFRICAN RIFT""",2.626,37.471,21,98.276038,UNKNOWN,0.9100896558747745,0.03514025503334732,0.8749494008414272,True,20,RB(PPM):1.16 || SR(PPM):0.53 || K2O(WT%):0.52 || LA(PPM):0.47 || NB(PPM):0.42
PETDB:CIB:5d1c1e5968fa66ec932fcbc30da350db,location_root_grouped,2,random_forest_balanced,CIB,OIB,0.021483108818368957,0.02320041451137333,0.06200713775617091,0.8933093389140868,https://www.earthchem.org/petdb/sample/5d1c1e5968fa66ec932fcbc30da350db,89K-2,"Woldegabriel, G., White, T., ... Walter, R. (1992). KESEM-KEBENA: A NEWLY DISCOVERED PALEOANTHROPOLOGICAL RESEARCH AREA IN ETHIOPIA. JOURNAL OF FIELD ARCHAEOLOGY, 19(4), 471.",34306d99c63613fad5b2a140398c0420,34306d99c63613fad5b2a140398c0420,EAST AFRICAN RIFT,"""COUNTRY | ETHIOPIA, SPREADING_CENTER | EAST AFRICAN RIFT""",9.24,40.02,15,97.489084,UNKNOWN,0.8933093389140868,0.02320041451137333,0.8701089244027135,True,15,RB(PPM):1.72 || NB(PPM):1.02 || Y(PPM):0.43 || MGO(WT%):0.19 || TIO2(WT%):0.10
PETDB:OIB:b90859b08a93b6c9cb8239b4ec29ff20,location_root_grouped,1,random_forest_balanced,OIB,MORB,0.02276326642810857,0.03690968859337763,0.9043696468518434,0.0359573981266704,https://www.earthchem.org/petdb/sample/b90859b08a93b6c9cb8239b4ec29ff20,IT-278,"Eason, D., Sinton, J. M. (2009). LAVA SHIELDS AND FISSURE ERUPTIONS OF THE WESTERN VOLCANIC ZONE, ICELAND: EVIDENCE FOR MAGMA CHAMBERS AND CRUSTAL INTERACTION. JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH, 186(3-4), 331-348.",1e8ca836c962598551882e689265c1c5,1e8ca836c962598551882e689265c1c5,MID-ATLANTIC RIDGE,"""SPREADING_CENTER | MID-ATLANTIC RIDGE, OCEAN_ISLAND | ICELAND, COUNTRY | ICELAND""",64.282,-20.869,18,100.34,OTHER_OR_MIXED,0.9043696468518434,0.0359573981266704,0.868412248725173,True,18,K2O(WT%):1.82 || ZR(PPM):1.60 || TIO2(WT%):1.18 || P2O5(WT%):0.74 || RB(PPM):0.61
PETDB:OIB:c93cc1ab155228480824b531eb078895,location_root_grouped,5,random_forest_balanced,OIB,MORB,0.004723270570670205,0.006016663710987857,0.928164231715679,0.061095834002662844,https://www.earthchem.org/petdb/sample/c93cc1ab155228480824b531eb078895,E-169,"White, W. M., Mcbirney, A. R., ... Duncan, R. A. (1993). PETROLOGY AND GEOCHEMISTRY OF THE GALAPAGOS ISLANDS: PORTRAIT OF A PATHOLOGICAL MANTLE PLUME. J GEOPHYS RES, 98(B11), 19563.",1006ff12c465532f8c574aeaa4461b16,1006ff12c465532f8c574aeaa4461b16,"COUNTRY | ECUADOR, OCEAN | PACIFIC, OCEAN_ISLAND | GENOVESA, VOLCANO | TOWER","""OCEAN_ISLAND | GENOVESA, VOLCANO | TOWER, OCEAN | PACIFIC, COUNTRY | ECUADOR""",0.333,-89.96,17,99.68639399999999,UNKNOWN,0.928164231715679,0.061095834002662844,0.8670683977130161,True,17,K2O(WT%):3.46 || LA(PPM):2.94 || SR(PPM):2.63 || CE(PPM):2.61 || TIO2(WT%):2.59
PETDB:OIB:87fda25463ac82413cd4ad3de7c71208,location_root_grouped,1,random_forest_balanced,OIB,MORB,0.03111159413026795,0.03163069022582474,0.9015052599643095,0.03575245567959786,https://www.earthchem.org/petdb/sample/87fda25463ac82413cd4ad3de7c71208,IT‐42B,"Sinton, J. M., Groenvold, K., ... Saemundsson, K. (2005). POSTGLACIAL ERUPTIVE HISTORY OF THE WESTERN VOLCANIC ZONE, ICELAND. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, 6(12), n/a-n/a.",a5ff5d4b0a0d7b3e4d64147037d8c344,a5ff5d4b0a0d7b3e4d64147037d8c344,MID-ATLANTIC RIDGE,"""SPREADING_CENTER | MID-ATLANTIC RIDGE, OCEAN_ISLAND | ICELAND, COUNTRY | ICELAND""",64.282,-20.869,18,100.01,OTHER_OR_MIXED,0.9015052599643095,0.03575245567959786,0.8657528042847117,True,18,K2O(WT%):2.16 || P2O5(WT%):1.40 || RB(PPM):1.31 || ZR(PPM):1.11 || TIO2(WT%):0.97
PETDB:MORB:2b853994eaf7449d276e802d78edfd87,location_root_grouped,3,random_forest_balanced,MORB,ARC,0.9156220931730639,0.0,0.050054770680886485,0.0343231361460498,https://www.earthchem.org/petdb/sample/2b853994eaf7449d276e802d78edfd87,58-7,"Reid, A. M., Frey, F. A., ... Dick, H. J. B. (1983). GEOCHEMISTRY, MINERALOGY AND PETROGENESIS OF LAVAS ERUPTED ALONG THE SOUTHWEST INDIAN RIDGE BETWEEN THE BOUVET TRIPLE JUNCTION AND 11 DEGREE E. J PETROL, 24, 267-318.",8e296a067a37563370ded05f5a3bf3ec,8e296a067a37563370ded05f5a3bf3ec,SOUTHWEST INDIAN RIDGE,"""SPREADING_CENTER | SOUTHWEST INDIAN RIDGE, OCEAN | ATLANTIC""",-53.98,7.235,17,100.125772,UNKNOWN,0.9156220931730639,0.050054770680886485,0.8655673224921774,True,17,NI(PPM):2.85 || Y(PPM):2.73 || AL2O3(WT%):2.72 || TIO2(WT%):2.61 || ZR(PPM):2.55
PETDB:CIB:61fa4e535a8ffa0c7fec0af49be96aa9,location_root_grouped,2,random_forest_balanced,CIB,OIB,0.0074326256969911965,0.015474170339252708,0.09667329743290304,0.8804199065308532,https://www.earthchem.org/petdb/sample/61fa4e535a8ffa0c7fec0af49be96aa9,K08-552,"Bruhn, R., Brown, F., ... Haileab, B. (2011). PLIOCENE VOLCANO-TECTONICS AND PALEOGEOGRAPHY OF THE TURKANA BASIN, KENYA AND ETHIOPIA. JOURNAL OF AFRICAN EARTH SCIENCES, 59(2-3), 295-312.",4607f7fff0dce694258e1c637512aa9d,4607f7fff0dce694258e1c637512aa9d,EAST AFRICAN RIFT,"""SPREADING_CENTER | EAST AFRICAN RIFT, COUNTRY | KENYA""",3.652,37.154,21,99.288214,UNKNOWN,0.8804199065308532,0.015474170339252708,0.8649457361916005,True,20,RB(PPM):1.56 || LA(PPM):0.45 || SR(PPM):0.23 || ZR(PPM):0.17 || SIO2(WT%):0.16
PETDB:ARC:67d4889419fc77e2cb0d49795e4c506d,location_root_grouped,2,random_forest_balanced,ARC,MORB,0.0625807022188294,0.0,0.9260487521349559,0.011370545646214708,https://www.earthchem.org/petdb/sample/67d4889419fc77e2cb0d49795e4c506d,T08-20,"Todd, E., Gill, J. B., ... Pearce, J. A. (2012). A VARIABLY ENRICHED MANTLE WEDGE AND CONTRASTING MELT TYPES DURING ARC STAGES FOLLOWING SUBDUCTION INITIATION IN FIJI AND TONGA, SOUTHWEST PACIFIC. EARTH PLANET SCI LETT, 335-336, 180-194.",2cb6b10338a7fc4117a80da24b582060,2cb6b10338a7fc4117a80da24b582060,"COUNTRY | FIJI, ISLAND_GROUP | FIJI, OCEAN | PACIFIC, OCEAN_ISLAND | VITI LEVU","""OCEAN_ISLAND | VITI LEVU, COUNTRY | FIJI, OCEAN | PACIFIC, ISLAND_GROUP | FIJI""",-17.82,177.49,22,99.98,UNKNOWN,0.9260487521349559,0.0625807022188294,0.8634680499161265,True,21,K2O(WT%):4.82 || RB(PPM):3.73 || Y(PPM):2.88 || TIO2(WT%):2.48 || SR(PPM):2.46
PETDB:OIB:5350d6081710a5e9d297b8a5ccc42c1c,location_root_grouped,4,random_forest_balanced,OIB,ARC,0.8833401674625632,0.013458200912992305,0.0785902801335655,0.0246113514908791,https://www.earthchem.org/petdb/sample/5350d6081710a5e9d297b8a5ccc42c1c,PJ79,"Gill, J. B. (2020). Compilation of whole rock geochemistry and petrography of samples from the Sangihe Arc, northern Sulawesi, Indonesia. null, null.",0c6b6f19684ed9b6ff07575fcf81c98d,0c6b6f19684ed9b6ff07575fcf81c98d,COUNTRY | INDONESIA,"""COUNTRY | INDONESIA""",2.7,125.0,16,98.994994,UNKNOWN,0.8833401674625632,0.0246113514908791,0.858728815971684,True,16,TIO2(WT%):3.56 || FEOT(WT%):3.11 || CR(PPM):2.97 || ZR(PPM):1.55 || AL2O3(WT%):1.44
PETDB:OIB:651224b0d789bd585bda704a63251b40,location_root_grouped,4,random_forest_balanced,OIB,ARC,0.9021263188319055,0.026286458426459436,0.02766226370144369,0.04392495904019147,https://www.earthchem.org/petdb/sample/651224b0d789bd585bda704a63251b40,PJ5,"Gill, J. B. (2020). Compilation of whole rock geochemistry and petrography of samples from the Sangihe Arc, northern Sulawesi, Indonesia. null, null.",0c6b6f19684ed9b6ff07575fcf81c98d,0c6b6f19684ed9b6ff07575fcf81c98d,COUNTRY | INDONESIA,"""COUNTRY | INDONESIA""",1.518,125.185,14,98.954914,UNKNOWN,0.9021263188319055,0.04392495904019147,0.8582013597917141,True,14,TIO2(WT%):4.87 || FEOT(WT%):2.54 || P2O5(WT%):2.18 || ZR(PPM):2.02 || AL2O3(WT%):1.75
PETDB:ARC:da7bafcfa204aefb3c0ddc23ff3bb81b,location_root_grouped,5,random_forest_balanced,ARC,MORB,0.054312857089432634,0.0019837374903772134,0.9111604533386011,0.03254295208158918,https://www.earthchem.org/petdb/sample/da7bafcfa204aefb3c0ddc23ff3bb81b,352-U1440B-26R-1-W 52/55,"Shervais, J. W., Reagan, M. K., ... Vetter, S. (2018). MAGMATIC RESPONSE TO SUBDUCTION INITIATION, PART I: FOREARC BASALTS OF THE IZU-BONIN ARC FROM IODP EXPEDITION 352. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, null.",48042b1dae4950fef2bd2aafa0b971a1,48042b1dae4950fef2bd2aafa0b971a1,"OCEAN | PACIFIC, VOLCANIC_ARC | IZU-BONIN-MARIANA","""OCEAN | PACIFIC, VOLCANIC_ARC | IZU-BONIN-MARIANA""",28.462,142.754,21,99.99,UNKNOWN,0.9111604533386011,0.054312857089432634,0.8568475962491684,True,20,SR(PPM):2.32 || Y(PPM):2.24 || AL2O3(WT%):1.62 || K2O(WT%):1.08 || FEOT(WT%):0.89
