feature,GEOROC,PETDB,petdb_minus_georoc_missing_pct
TH(PPM),27.50870176997704,48.93150684931507,21.42280507933803
CE(PPM),20.051099755609865,40.38356164383561,20.332461888225748
LA(PPM),20.16959194253129,36.465753424657535,16.296161482126244
ND(PPM),26.266385247722727,41.917808219178085,15.651422971455357
RB(PPM),6.096793305191439,17.835616438356166,11.738823133164725
NI(PPM),11.919573428127082,19.808219178082194,7.888645749955112
SR(PPM),2.3772495001110863,5.1506849315068495,2.773435431395763
V(PPM),21.282307635340295,18.65753424657534,-2.624773388764954
NB(PPM),12.656446715544694,14.767123287671232,2.110676572126538
CR(PPM),15.435458786936238,13.945205479452055,-1.490253307484183
ZR(PPM),4.406428201140487,5.6438356164383565,1.2374074152978691
Y(PPM),7.27986373398504,8.10958904109589,0.8297253071108512
K2O(WT%),0.0962749018736577,0.0,-0.0962749018736577
P2O5(WT%),0.09257202103236317,0.0,-0.09257202103236317
FEOT(WT%),0.033325927571650746,0.0,-0.033325927571650746
NA2O(WT%),0.02221728504776716,0.0,-0.02221728504776716
MNO(WT%),0.02221728504776716,0.0,-0.02221728504776716
CAO(WT%),0.0,0.0,0.0
SIO2(WT%),0.0,0.0,0.0
MGO(WT%),0.0,0.0,0.0
TIO2(WT%),0.0,0.0,0.0
AL2O3(WT%),0.0,0.0,0.0
